"size_class","count","min_size_class","max_size_class","mp_size_class","size_width","n_s","db","min_d","max_d","mp"
"(0.904,0.954]",1,0.904,0.954,0.929,0.0499999999999999,0.0111135807957324,"(200,250]",200,250,225
"(0.954,1]",3,0.954,1,0.977,0.046,0.0362399373773882,"(200,250]",200,250,225
"(1,1.05]",4,1,1.05,1.025,0.05,0.0444543231829295,"(200,250]",200,250,225
"(1.05,1.1]",3,1.05,1.1,1.075,0.05,0.0333407423871971,"(200,250]",200,250,225
"(1.1,1.15]",4,1.1,1.15,1.125,0.0499999999999998,0.0444543231829297,"(200,250]",200,250,225
"(1.15,1.2]",2,1.15,1.2,1.175,0.05,0.0222271615914647,"(200,250]",200,250,225
"(1.35,1.4]",1,1.35,1.4,1.375,0.0499999999999998,0.0111135807957324,"(200,250]",200,250,225
"(0.104,0.154]",100,0.104,0.154,0.129,0.05,1.10662313948985,"(250,300]",250,300,275
"(0.154,0.204]",50,0.154,0.204,0.179,0.05,0.553311569744923,"(250,300]",250,300,275
"(0.204,0.254]",100,0.204,0.254,0.229,0.05,1.10662313948985,"(250,300]",250,300,275
"(0.254,0.304]",149,0.254,0.304,0.279,0.05,1.64886847783987,"(250,300]",250,300,275
"(0.304,0.354]",133,0.304,0.354,0.329,0.05,1.4718087755215,"(250,300]",250,300,275
"(0.354,0.404]",137,0.354,0.404,0.379,0.05,1.51607370110109,"(250,300]",250,300,275
"(0.404,0.454]",71,0.404,0.454,0.429,0.05,0.785702429037791,"(250,300]",250,300,275
"(0.454,0.504]",42,0.454,0.504,0.479,0.05,0.464781718585736,"(250,300]",250,300,275
"(0.504,0.554]",21,0.504,0.554,0.529,0.05,0.232390859292868,"(250,300]",250,300,275
"(0.554,0.604]",14,0.554,0.604,0.579,0.0499999999999999,0.154927239528579,"(250,300]",250,300,275
"(0.604,0.654]",8,0.604,0.654,0.629,0.05,0.0885298511591877,"(250,300]",250,300,275
"(0.654,0.704]",2,0.654,0.704,0.679,0.0499999999999999,0.022132462789797,"(250,300]",250,300,275
"(0.704,0.754]",6,0.704,0.754,0.729,0.05,0.0663973883693907,"(250,300]",250,300,275
"(0.754,0.804]",4,0.754,0.804,0.779,0.05,0.0442649255795938,"(250,300]",250,300,275
"(0.804,0.854]",5,0.804,0.854,0.829,0.0499999999999999,0.0553311569744924,"(250,300]",250,300,275
"(0.854,0.904]",3,0.854,0.904,0.879,0.05,0.0331986941846954,"(250,300]",250,300,275
"(0.954,1]",2,0.954,1,0.977,0.046,0.0240570247715184,"(250,300]",250,300,275
"(1,1.05]",3,1,1.05,1.025,0.05,0.0331986941846954,"(250,300]",250,300,275
"(1.05,1.1]",3,1.05,1.1,1.075,0.05,0.0331986941846954,"(250,300]",250,300,275
"(1.1,1.15]",4,1.1,1.15,1.125,0.0499999999999998,0.044264925579594,"(250,300]",250,300,275
"(1.15,1.2]",5,1.15,1.2,1.175,0.05,0.0553311569744923,"(250,300]",250,300,275
"(1.25,1.3]",1,1.25,1.3,1.275,0.05,0.0110662313948985,"(250,300]",250,300,275
"(1.35,1.4]",1,1.35,1.4,1.375,0.0499999999999998,0.0110662313948985,"(250,300]",250,300,275
"(1.45,1.5]",1,1.45,1.5,1.475,0.05,0.0110662313948985,"(250,300]",250,300,275
"(1.5,1.55]",1,1.5,1.55,1.525,0.05,0.0110662313948985,"(250,300]",250,300,275
